name,description,rating,done,prep_time
Chocolate Chocolate Chip Cookies,These chocolate chocolate chip cookies are made with cocoa powder and chocolate chips to guarantee chocolaty flavor in every bite. My kids love them!,4.7,true,40 mins
Supreme Strawberry Topping,"This homemade strawberry sauce is bursting with fresh strawberry flavor! Serve it cold as a dessert topping over cheesecake or ice cream. Or, warm it up and enjoy it for breakfast over pancakes or waffles. Store covered in the refrigerator.",4.8,false,10 mins
